"","x"
"1",NA
"2","Chironomidae"
"3","Limoniidae"
"4","Perlidae"
"5","Tachinidae"
"6","Anisopodidae"
"7","Mycetophilidae"
"8","Empididae"
"9","Calliphoridae"
"10","Ceratopogonidae"
"11","Culicidae"
"12","Figitidae"
"13","Coenagrionidae"
"14","Gerridae"
"15","Rhagionidae"
"16","Membracidae"
"17","Tipulidae"
"18","Chaoboridae"
"19","Cecidomyiidae"
"20","Staphylinidae"
"21","Muscidae"
"22","Crambidae"
"23","Sarcophagidae"
"24","Elachistidae"
"25","Dolichopodidae"
"26","Pionidae"
"27","Curculionidae"
"28","Heptageniidae"
"29","Gomphidae"
"30","Miridae"
"31","Tenthredinidae"
"32","Trichoceridae"
"33","Scirtidae"
"34","Linyphiidae"
"35","Tineidae"
"36","Baetidae"
"37","Ichneumonidae"
"38","Drosophilidae"
"39","Dermestidae"
"40","Blattisociidae"
"41","Leptoceridae"
"42","Limnephilidae"
"43","Cantharidae"
"44","Hydrophilidae"
"45","Platystomatidae"
"46","Elateridae"
"47","Chloroperlidae"
"48","Delphacidae"
"49","Caenidae"
"50","Phryganeidae"
"51","Sepsidae"
"52","Noctuidae"
"53","Sphaeroceridae"
"54","Agromyzidae"
"55","Tortricidae"
"56","Ceratophyllidae"
"57","Simuliidae"
"58","Pipunculidae"
"59","Diapriidae"
"60","Arrenuridae"
"61","Siphlonuridae"
"62","Braconidae"
"63","Stratiomyidae"
"64","Unionicolidae"
"65","Hybotidae"
"66","Oxidae"
"67","Leuctridae"
"68","Ulidiidae"
"69","Pteromalidae"
"70","Limacodidae"
"71","Tabanidae"
"72","Parasitidae"
"73","Hydropsychidae"
"74","Dytiscidae"
"75","Andrenidae"
"76","Corixidae"
"77","Ephemerellidae"
"78","Limnesiidae"
"79","Dixidae"
"80","Clusiidae"
"81","Bourletiellidae"
"82","Corduliidae"
"83","Caeciliusidae"
"84","Formicidae"
"85","Ephydridae"
"86","Asilidae"
"87","Syrphidae"
"88","Philopotamidae"
"89","Anthomyiidae"
"90","Lonchaeidae"
"91","Chrysomelidae"
"92","Carabidae"
"93","Cicadellidae"
"94","Aphrophoridae"
"95","Bostrichidae"
"96","Lycosidae"
"97","Aphididae"
"98","Scarabaeidae"
"99","Phoridae"
"100","Libellulidae"
"101","Keroplatidae"
"102","Polycentropodidae"
"103","Heleomyzidae"
"104","Lestidae"
"105","Dasydemellidae"
"106","Trombidiidae"
"107","Nemouridae"
"108","Lonchopteridae"
"109","Philodromidae"
"110","Hygrobatidae"
"111","Psocidae"
"112","Lauxaniidae"
"113","Mesopsocidae"
"114","Psychidae"
"115","Cylindrotomidae"
"116","Opomyzidae"
"117","Sciaridae"
"118","Ephemeridae"
"119","Pentatomidae"
"120","Chloropidae"
"121","Leptohyphidae"
"122","Thomisidae"
"123","Corethrellidae"
"124","Gelechiidae"
"125","Sialidae"
"126","Isonychiidae"
"127","Fanniidae"
"128","Coleophoridae"
"129","Sciomyzidae"
"130","Calopterygidae"
"131","Salticidae"
"132","Psephenidae"
"133","Saldidae"
"134","Paradoxosomatidae"
"135","Milichiidae"
"136","Sesiidae"
"137","Tephritidae"
"138","Stenotrachelidae"
"139","Pygmephoridae"
"140","Geometridae"
"141","Perlodidae"
"142","Pediciidae"
"143","Pisauridae"
"144","Peripsocidae"
"145","Lasiocampidae"
"146","Therevidae"
"147","Leptophlebiidae"
"148","Glossosomatidae"
"149","Lebertiidae"
"150","Hemisarcoptidae"
"151","Scathophagidae"
"152","Anyphaenidae"
"153","Araneidae"
"154","Xyelidae"
"155","Liposcelididae"
"156","Ptinidae"
"157","Nitidulidae"
"158","Bibionidae"
"159","Hemerobiidae"
"160","Thripidae"
"161","Blastobasidae"
"162","Eviphididae"
"163","Bombyliidae"
"164","Psychodidae"
"165","Mesoveliidae"
"166","Momphidae"
"167","Glyphipterigidae"
"168","Ptychopteridae"
"169","Dermanyssidae"
"170","Coccinellidae"
"171","Conopidae"
"172","Psychomyiidae"
"173","Ameletidae"
"174","Oestridae"
"175","Thyreocoridae"
"176","Eucnemidae"
"177","Scutelleridae"
"178","Scraptiidae"
"179","Diprionidae"
"180","Cerambycidae"
"181","Micropezidae"
"182","Pyrochroidae"
"183","Acanthosomatidae"
"184","Cosmopterigidae"
"185","Rhyparochromidae"
"186","Scutacaridae"
"187","Tenebrionidae"
"188","Buprestidae"
"189","Entomobryidae"
"190","Tetragnathidae"
"191","Psenidae"
"192","Trachelipodidae"
"193","Theridiidae"
"194","Derbidae"
"195","Clubionidae"
"196","Tetrigidae"
"197","Megaspilidae"
"198","Tydeidae"
"199","Helicopsychidae"
"200","Rhinotermitidae"
"201","Cleridae"
"202","Odontoceridae"
"203","Macronyssidae"
"204","Perilampidae"
"205","Amphipsocidae"
"206","Isotomidae"
"207","Torrenticolidae"
"208","Latridiidae"
"209","Mimetidae"
"210","Hydryphantidae"
"211","Adelidae"
"212","Hydroptilidae"
"213","Lygaeidae"
"214","Berytidae"
"215","Pachygronthidae"
